rho_pol, ne, Te, Ti, dn_dR, dTe_dR, dTi_dR, D, chi_e, chi_i, Gamma, Qe, Qi
1.000164039402273275e+00,9.106153546701671424e+18,4.922046638916003047e+01,9.040610003492507474e+01,-2.820530597682051809e+20,-2.463964987319913689e+03,-4.293640751047210870e+03,9.972066684258406033e-01,7.602755682634871892e-01,7.148802787732413400e-01,2.812651920507663811e+20,6.059483931775292149e+03,1.058808536001640823e+04
1.001407958091581563e+00,8.779497228885683200e+18,4.676270384021344739e+01,8.580396015724947745e+01,-3.699392822669369016e+20,-2.794627912253441991e+03,-4.878307408844991187e+03,8.504589995938011127e-01,5.481367621922650368e-01,4.549988387924179256e-01,3.146181919071879823e+20,5.689882043695781249e+03,9.608862446646893659e+03
1.002651876780889850e+00,8.408160500936459264e+18,4.394762584002705097e+01,8.120182027957389437e+01,-4.385344017996461507e+20,-3.093548590251294172e+03,-4.869513535930970647e+03,7.225137600943679628e-01,3.676702379390900943e-01,1.944653219838922142e-01,3.168471395749967299e+20,4.878171602191680904e+03,7.458105725090025771e+03
1.003895795470198138e+00,7.950586232597049344e+18,4.091532577023926365e+01,7.659968040189829708e+01,-5.371896085684138803e+20,-3.381159501370500038e+03,-5.039695627218310619e+03,5.816285625996798769e-01,3.517246566195607604e-01,1.967980467762507346e-01,3.124448198751312282e+20,4.586654963202405270e+03,7.014384134481452747e+03
1.005139714159506426e+00,7.390935937143704576e+18,3.754504759942933134e+01,7.165863086511873803e+01,-6.209889576419832627e+20,-3.604507795967012953e+03,-6.032797685745897979e+03,4.341485783894555861e-01,3.472699628655042670e-01,1.991307715686093105e-01,2.696014731558168822e+20,3.914456613722773909e+03,6.064812468911260112e+03
1.006383632848814935e+00,6.772547586008423424e+18,3.407744333557738514e+01,6.515524369589731180e+01,-6.707943547398389760e+20,-3.624100655810461376e+03,-7.380447602703478879e+03,2.881130750609953717e-01,3.428152691114469963e-01,2.043643166444507608e-01,1.932646242776511939e+20,2.930560949325865749e+03,4.662355059848885503e+03
1.007627551538123223e+00,6.116104071130864640e+18,3.065751348555458122e+01,5.763223108569077624e+01,-6.974634995980303073e+20,-3.564200046332757211e+03,-7.902581632840333441e+03,1.845502678004120600e-01,3.550954489725629548e-01,2.119613158392408547e-01,1.287170756318290903e+20,2.188324062695572593e+03,3.423811562068020066e+03
1.008871470227431510e+00,5.444620347438692352e+18,2.729142753981956204e+01,5.010921847548422647e+01,-6.672711354062699233e+20,-3.247096685773291938e+03,-6.913314278155175998e+03,2.081895501961069928e-01,4.912335438842782565e-01,3.763003233964751226e-01,1.389188775390769316e+20,2.302324241376869850e+03,3.941842524266801775e+03
1.010115388916739798e+00,4.843346018391274496e+18,2.446397650253231504e+01,4.444572270587857332e+01,-6.067577231166832640e+20,-2.843565651910857923e+03,-5.281625349267629645e+03,2.289633927909980604e-01,6.489342068985887169e-01,5.187962593373343090e-01,1.389253068869367890e+20,2.248464946150855212e+03,3.609809870551227959e+03
1.011359307606048308e+00,4.285173109933535744e+18,2.185768650256116175e+01,4.001661365573835383e+01,-5.018627133366467953e+20,-2.356851074937881549e+03,-4.295398292567984754e+03,2.513262019173554407e-01,8.467707266194943738e-01,6.780649771280250482e-01,1.261312496268379587e+20,2.032518195450239091e+03,3.212304505050788521e+03
1.012603226295356595e+00,3.882587558144050688e+18,1.995205611152608327e+01,3.622267656188690665e+01,-3.943366375714803548e+20,-1.792372835015552937e+03,-3.956359717818796980e+03,2.874846031239044475e-01,1.010589681160569242e+00,8.925426256810782277e-01,1.133657117494519726e+20,1.670174246429271307e+03,3.183155400935948364e+03
1.013847144984664883e+00,3.528877675011905536e+18,1.842010737943420651e+01,3.242873946803546659e+01,-3.533788274745792922e+20,-1.296000135992951755e+03,-3.767368978580006569e+03,4.310937052543182268e-01,1.500993510993555713e+00,1.384068329534918540e+00,1.523393880944428646e+20,1.774029888781222326e+03,4.134902102903740342e+03
1.015091063673973171e+00,3.203600656473162752e+18,1.746190376371400177e+01,2.898400239315485649e+01,-2.403825096003251077e+20,-8.860359398279443894e+02,-2.535600545874481668e+03,5.636820944179062876e-01,1.866774579902447995e+00,1.872589503765318408e+00,1.354993164729437225e+20,1.417443770310371292e+03,3.380558003436362924e+03
1.016334982363281680e+00,3.066154000060176384e+18,1.671453484465124717e+01,2.754784191543306804e+01,-1.331140017835000463e+20,-6.852396465878698564e+02,-1.291357003802996360e+03,6.932448938696216256e-01,2.398669073479488212e+00,2.479030433941170397e+00,9.228060203896310989e+19,1.178009128105580885e+03,2.183352467661347873e+03
1.017578901052589968e+00,2.946891092647742976e+18,1.614042316486941786e+01,2.649362806177280660e+01,-7.269351029590328934e+19,-5.290436474020092419e+02,-8.577127793807119360e+02,8.036854617890596408e-01,2.721198214715515373e+00,2.951961868409123113e+00,5.842271739123079578e+19,9.062340410884073663e+02,1.567249824532647608e+03
1.018822819741898256e+00,2.925706220374816768e+18,1.569239400523103356e+01,2.589069459951140573e+01,-2.188941731444738458e+19,-4.354650912335628163e+02,-6.229852131396120285e+02,9.234499223073867613e-01,2.679761117279253924e+00,2.827151467584334998e+00,2.021378071838040474e+19,6.231675249015241889e+02,9.512663574979633268e+02
1.020066738431206543e+00,2.904521348101890560e+18,1.529752522888713706e+01,2.528776113724999774e+01,-3.409405380407050650e+19,-3.619333160315684950e+02,-6.218331142500397846e+02,1.053355006986151921e+00,2.504775370939371637e+00,2.720226694483601548e+00,3.591314228297292595e+19,5.538435975036510399e+02,1.005306397793947895e+03
1.021310657120515053e+00,2.859590584421880832e+18,1.499052817550317940e+01,2.468482767498848318e+01,-5.174085287950120550e+19,-3.096885961286249085e+02,-5.800026663882675848e+02,1.163951943267786504e+00,2.353585450289250147e+00,2.574306118509908536e+00,6.022386625542807552e+19,5.508437996454794074e+02,1.041234471977512158e+03
1.022554575809823341e+00,2.803998564917100032e+18,1.469585830863089981e+01,2.416092462344662906e+01,-6.712267713561178112e+19,-3.937253199508761554e+02,-5.331266925755321608e+02,1.206518698972071757e+00,2.208329487506606625e+00,2.443298256763668075e+00,8.098476508918076211e+19,6.765595648997168610e+02,1.055310089195310638e+03
1.023798494499131628e+00,2.728941289302076928e+18,1.422417114509936731e+01,2.364713624838130812e+01,-7.881575184035461530e+19,-4.837688158567149799e+02,-8.526005619276024845e+02,1.149844237876290087e+00,2.081150558319622590e+00,2.322964539949750939e+00,9.062583810751935283e+19,7.499126389577547798e+02,1.380827343630473933e+03
1.025042413188439916e+00,2.650303753640990720e+18,1.375248398156782592e+01,2.249830922741771388e+01,-8.573959606975007949e+19,-4.828675053617265007e+02,-1.159889791462857829e+03,1.063185387943441640e+00,1.978127690770045799e+00,2.182538839536154462e+00,9.115708570953121792e+19,7.067951389055053824e+02,1.567649336732847132e+03
1.026286331877748204e+00,2.561432536182787584e+18,1.328079681803624368e+01,2.138106897456680144e+01,-9.131487817860207411e+19,-4.819661948667321667e+02,-1.057041281495842213e+03,9.892824684998321461e-01,1.876195612211874142e+00,2.041141749533520677e+00,9.033620809528891802e+19,6.593533304720976957e+02,1.349476713563156409e+03
